20120930 14:50 LOGIN_SUCCESS user connected to chat with login gibbs
20120930 14:52 LOGIN_SUCCESS user connected to chat with login dinozzo
20120930 14:53 LOGIN_FAIL    unknown user todd
20120930 14:54 MESSAGE_SENT  from gibbs to dinozzo
20120930 14:55 LOGIN_SUCCESS user connected to chat with login sciuto
20120930 14:55 MESSAGE_SENT  from sciuto to gibbs
20120930 14:56 LOGIN_SUCCESS user connected to chat with login mcgee
20120930 14:56 LOGIN_SUCCESS user connected to chat with login david
20120930 14:57 LOGIN_SUCCESS user connected to chat with login palmer
20120930 14:58 LOGIN_SUCCESS user connected to chat with login vance
20120930 15:00 MESSAGE_SENT  from vance to mcgee
20120930 15:00 MESSAGE_SENT  from mcgee to dinozzo
20120930 15:00 MESSAGE_SENT  from sciuto to palmer
20120930 15:00 MESSAGE_SENT  from vance to sciuto
20120930 15:00 MESSAGE_SENT  from vance to dinozzo
20120930 15:01 MESSAGE_SENT  from david to david
20120930 15:01 MESSAGE_SENT  from mcgee to sciuto
20120930 15:01 MESSAGE_SENT  from vance to dinozzo
20120930 15:01 MESSAGE_SENT  from david to vance
20120930 15:01 MESSAGE_SENT  from sciuto to sciuto
20120930 15:01 MESSAGE_SENT  from palmer to gibbs
20120930 15:02 MESSAGE_SENT  from palmer to palmer
20120930 15:02 MESSAGE_SENT  from david to david
20120930 15:02 MESSAGE_SENT  from david to gibbs
20120930 15:02 MESSAGE_SENT  from gibbs to vance
20120930 15:02 MESSAGE_SENT  from mcgee to sciuto
20120930 15:02 MESSAGE_SENT  from david to gibbs
20120930 15:02 MESSAGE_SENT  from vance to vance
20120930 15:02 MESSAGE_SENT  from dinozzo to vance
20120930 15:02 MESSAGE_SENT  from gibbs to vance
20120930 15:02 MESSAGE_SENT  from mcgee to dinozzo
20120930 15:02 MESSAGE_SENT  from mcgee to palmer
20120930 15:02 MESSAGE_SENT  from vance to gibbs
20120930 15:02 MESSAGE_SENT  from vance to sciuto
20120930 15:02 MESSAGE_SENT  from palmer to david
20120930 15:02 MESSAGE_SENT  from david to sciuto
20120930 15:02 MESSAGE_SENT  from dinozzo to david
20120930 15:02 MESSAGE_SENT  from dinozzo to sciuto
20120930 15:02 MESSAGE_SENT  from mcgee to palmer
20120930 15:02 MESSAGE_SENT  from palmer to vance
20120930 15:02 MESSAGE_SENT  from dinozzo to mcgee
20120930 15:02 MESSAGE_SENT  from david to dinozzo
20120930 15:02 MESSAGE_SENT  from gibbs to palmer
20120930 15:02 MESSAGE_SENT  from palmer to mcgee
20120930 15:02 MESSAGE_SENT  from sciuto to sciuto
20120930 15:02 MESSAGE_SENT  from mcgee to vance
20120930 15:02 MESSAGE_SENT  from david to vance
20120930 15:02 MESSAGE_SENT  from vance to gibbs
20120930 15:02 MESSAGE_SENT  from mcgee to david
20120930 15:02 MESSAGE_SENT  from dinozzo to vance
20120930 15:03 MESSAGE_SENT  from sciuto to dinozzo
20120930 15:03 MESSAGE_SENT  from palmer to vance
20120930 15:03 MESSAGE_SENT  from sciuto to mcgee
20120930 15:04 MESSAGE_SENT  from dinozzo to gibbs
20120930 15:04 MESSAGE_SENT  from vance to palmer
20120930 15:04 MESSAGE_SENT  from sciuto to gibbs
20120930 15:04 MESSAGE_SENT  from dinozzo to dinozzo
20120930 15:04 MESSAGE_SENT  from gibbs to vance
20120930 15:05 MESSAGE_SENT  from sciuto to sciuto
20120930 15:05 MESSAGE_SENT  from david to palmer
20120930 15:05 MESSAGE_SENT  from david to palmer
20120930 15:05 MESSAGE_SENT  from david to gibbs
20120930 15:05 MESSAGE_SENT  from gibbs to sciuto
20120930 15:05 MESSAGE_SENT  from vance to david
20120930 15:05 MESSAGE_SENT  from david to mcgee
20120930 15:06 MESSAGE_SENT  from palmer to dinozzo
20120930 15:07 MESSAGE_SENT  from gibbs to vance
20120930 15:07 MESSAGE_SENT  from sciuto to mcgee
20120930 15:07 MESSAGE_SENT  from david to sciuto
20120930 15:07 MESSAGE_SENT  from dinozzo to david
20120930 15:07 MESSAGE_SENT  from david to mcgee
20120930 15:08 MESSAGE_SENT  from palmer to mcgee
20120930 15:08 MESSAGE_SENT  from mcgee to vance
20120930 15:08 MESSAGE_SENT  from dinozzo to palmer
20120930 15:08 MESSAGE_SENT  from mcgee to vance
20120930 15:08 MESSAGE_SENT  from david to palmer
20120930 15:08 MESSAGE_SENT  from vance to dinozzo
20120930 15:08 MESSAGE_SENT  from mcgee to sciuto
20120930 15:08 MESSAGE_SENT  from gibbs to vance
20120930 15:08 MESSAGE_SENT  from mcgee to sciuto
20120930 15:08 MESSAGE_SENT  from mcgee to david
20120930 15:09 MESSAGE_SENT  from mcgee to dinozzo
20120930 15:10 MESSAGE_SENT  from palmer to david
20120930 15:10 MESSAGE_SENT  from gibbs to vance
20120930 15:11 MESSAGE_SENT  from david to sciuto
20120930 15:11 MESSAGE_SENT  from vance to dinozzo
20120930 15:11 MESSAGE_SENT  from palmer to sciuto
20120930 15:12 MESSAGE_SENT  from dinozzo to palmer
20120930 15:12 MESSAGE_SENT  from mcgee to dinozzo
20120930 15:12 MESSAGE_SENT  from gibbs to mcgee
20120930 15:12 MESSAGE_SENT  from sciuto to gibbs
20120930 15:12 MESSAGE_SENT  from dinozzo to palmer
20120930 15:12 MESSAGE_SENT  from gibbs to dinozzo
20120930 15:12 MESSAGE_SENT  from dinozzo to david
20120930 15:12 MESSAGE_SENT  from gibbs to gibbs
20120930 15:12 MESSAGE_SENT  from palmer to palmer
20120930 15:12 MESSAGE_SENT  from gibbs to david
20120930 15:12 MESSAGE_SENT  from dinozzo to sciuto
20120930 15:13 MESSAGE_SENT  from sciuto to palmer
20120930 15:13 MESSAGE_SENT  from dinozzo to sciuto
20120930 15:13 MESSAGE_SENT  from david to vance
20120930 15:14 MESSAGE_SENT  from dinozzo to dinozzo
20120930 15:14 MESSAGE_SENT  from vance to sciuto
20120930 15:14 MESSAGE_SENT  from david to mcgee
20120930 15:14 MESSAGE_SENT  from gibbs to mcgee
20120930 15:14 MESSAGE_SENT  from mcgee to david
20120930 15:14 MESSAGE_SENT  from sciuto to sciuto
