20120930 14:50 LOGIN_SUCCESS user connected to chat with login gibbs
20120930 14:52 LOGIN_SUCCESS user connected to chat with login dinozzo
20120930 14:53 LOGIN_FAIL    unknown user todd
20120930 14:54 MESSAGE_SENT  gibbs --> dinozzo
20120930 14:55 LOGIN_SUCCESS user connected to chat with login sciuto
20120930 14:55 MESSAGE_SENT  sciuto --> gibbs
20120930 14:56 LOGIN_SUCCESS user connected to chat with login mcgee
20120930 14:56 LOGIN_SUCCESS user connected to chat with login david
20120930 14:57 LOGIN_SUCCESS user connected to chat with login palmer
20120930 14:58 LOGIN_SUCCESS user connected to chat with login vance
20120930 15:00 MESSAGE_SENT  vance --> mcgee
20120930 15:00 MESSAGE_SENT  mcgee --> dinozzo
20120930 15:00 MESSAGE_SENT  sciuto --> palmer
20120930 15:00 MESSAGE_SENT  vance --> sciuto
20120930 15:00 MESSAGE_SENT  vance --> dinozzo
20120930 15:01 MESSAGE_SENT  david se parle à lui-même
20120930 15:01 MESSAGE_SENT  mcgee --> sciuto
20120930 15:01 MESSAGE_SENT  vance --> dinozzo
20120930 15:01 MESSAGE_SENT  david --> vance
20120930 15:01 MESSAGE_SENT  sciuto se parle à lui-même
20120930 15:01 MESSAGE_SENT  palmer --> gibbs
20120930 15:02 MESSAGE_SENT  palmer se parle à lui-même
20120930 15:02 MESSAGE_SENT  david se parle à lui-même
20120930 15:02 MESSAGE_SENT  david --> gibbs
20120930 15:02 MESSAGE_SENT  gibbs --> vance
20120930 15:02 MESSAGE_SENT  mcgee --> sciuto
20120930 15:02 MESSAGE_SENT  david --> gibbs
20120930 15:02 MESSAGE_SENT  vance se parle à lui-même
20120930 15:02 MESSAGE_SENT  dinozzo --> vance
20120930 15:02 MESSAGE_SENT  gibbs --> vance
20120930 15:02 MESSAGE_SENT  mcgee --> dinozzo
20120930 15:02 MESSAGE_SENT  mcgee --> palmer
20120930 15:02 MESSAGE_SENT  vance --> gibbs
20120930 15:02 MESSAGE_SENT  vance --> sciuto
20120930 15:02 MESSAGE_SENT  palmer --> david
20120930 15:02 MESSAGE_SENT  david --> sciuto
20120930 15:02 MESSAGE_SENT  dinozzo --> david
20120930 15:02 MESSAGE_SENT  dinozzo --> sciuto
20120930 15:02 MESSAGE_SENT  mcgee --> palmer
20120930 15:02 MESSAGE_SENT  palmer --> vance
20120930 15:02 MESSAGE_SENT  dinozzo --> mcgee
20120930 15:02 MESSAGE_SENT  david se parle à lui-mêmeinozzo
20120930 15:02 MESSAGE_SENT  gibbs --> palmer
20120930 15:02 MESSAGE_SENT  palmer --> mcgee
20120930 15:02 MESSAGE_SENT  sciuto se parle à lui-même
20120930 15:02 MESSAGE_SENT  mcgee --> vance
20120930 15:02 MESSAGE_SENT  david --> vance
20120930 15:02 MESSAGE_SENT  vance --> gibbs
20120930 15:02 MESSAGE_SENT  mcgee --> david
